#,TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
210,LRBDL,15.8,15.8,15.6,0,15.6,0.2,25,0.288,"18,226"
211,LRGLOBMF1,0,0,0,0,3.2,--,0,0,0
212,MAKSONSPIN,7.1,7.1,7,0,7.1,0,5,0.01,"1,436"
213,MALEKSPIN,25.7,25.9,25.7,0,25.7,0,60,0.882,"34,232"
214,MARICO,"2,386","2,394.9","2,386",0,"2,383.4",2.6,38,0.388,162
215,MATINSPINN,45.3,45.6,45,0,45.1,0.2,81,1.888,"41,624"
216,MBL1STMF,3.9,3.9,3.9,0,3.9,0,3,0.02,"5,168"
217,MEGCONMILK,0,0,0,0,25.1,--,0,0,0
218,MEGHNACEM,45,45.8,44.4,0,44.3,0.7,3,0.004,90
219,MEGHNAINS,25.7,26.2,25.4,0,25.3,0.4,66,0.792,"30,522"
220,MEGHNALIFE,53.7,53.9,51.8,0,51.2,2.5,478,9.907,"185,993"
221,MEGHNAPET,0,0,0,0,25.3,--,0,0,0
222,MERCANBANK,10,10.1,10,0,10,0,9,0.323,"32,015"
223,MERCINS,24.2,24.2,24.2,0,23.5,0.7,1,0,1
224,METROSPIN,14.1,14.5,14,0,14,0.1,7,0.016,"1,102"
225,MHSML,14.2,14.4,14.2,0,14.3,-0.1,17,0.396,"27,782"
226,MIDASFIN,8.2,8.2,8.1,0,8.1,0.1,10,0.095,"11,599"
227,MIDLANDBNK,17.7,17.8,17.5,0,17.6,0.1,264,7.446,"422,731"
228,MIRACLEIND,33,33.2,32.7,0,32.7,0.3,3,0.053,"1,610"
229,MIRAKHTER,32.1,33,32.1,0,32,0.1,73,3.065,"94,661"
230,MITHUNKNIT,16.3,16.3,16.1,0,16.5,-0.2,14,0.139,"8,610"
231,MJLBD,95.4,95.5,94.9,0,95.5,-0.1,68,2.014,"21,189"
232,MLDYEING,10.5,10.6,10.4,0,10.5,0,27,0.31,"29,405"
233,MONNOAGML,319.2,324,318,0,318.9,0.3,64,1.318,"4,125"
234,MONNOCERA,90.8,91.3,90.8,0,91.2,-0.4,95,1.675,"18,420"
235,MONNOFABR,16.5,16.7,16.5,0,16.5,0,85,1.508,"90,819"
236,MONOSPOOL,104.9,105.3,104,0,104.1,0.8,104,1.503,"14,382"
237,MPETROLEUM,206,206,206,0,205.5,0.5,7,0.175,850
238,MTB,12.3,12.3,12.2,0,12.3,0,19,0.407,"33,127"
239,NAHEEACP,21.9,22.2,21.8,0,21.8,0.1,49,0.629,"28,706"
240,NATLIFEINS,98.8,98.9,96,0,95.9,2.9,504,21.758,"221,852"
241,NAVANACNG,21.8,21.8,21.8,0,21.9,-0.1,1,0.004,200
242,NAVANAPHAR,49.9,50.2,49.2,0,49.4,0.5,94,1.309,"26,288"
243,NBL,4.5,4.7,4.5,0,4.7,-0.2,7,0.043,"9,321"
244,NCCBANK,10.3,10.3,10.2,0,10.3,0,7,0.092,"8,957"
245,NCCBLMF1,5,5,5,0,4.9,0.1,1,0.002,300
246,NEWLINE,10.2,10.2,9.9,0,10.1,0.1,102,1.494,"148,865"
247,NFML,8.9,9.1,8.9,0,8.9,0,7,0.009,954
248,NHFIL,27.7,27.8,27.4,0,27.3,0.4,76,1.665,"60,265"
249,NITOLINS,24.2,24.8,24,0,24.4,-0.2,12,0.225,"9,142"
250,NORTHERN,0,0,0,0,108,--,0,0,0
251,NORTHRNINS,29.7,30,27,0,28.9,0.8,4,0.004,152
252,NPOLYMER,31.9,32.4,31.7,0,31.4,0.5,38,0.595,"18,606"
253,NRBBANK,13.6,13.7,13.5,0,13.5,0.1,18,1.088,"79,962"
254,NRBCBANK,8.4,8.4,8.4,0,8.4,0,2,0.067,"8,000"
255,NTC,188,188,180.6,0,184.1,3.9,3,0.018,102
256,NTLTUBES,79.1,79.8,79,0,79.2,-0.1,143,1.462,"18,452"
257,NURANI,4,4,4,0,3.9,0.1,2,0.02,"5,005"
258,OAL,8.9,8.9,8.8,0,8.8,0.1,13,0.108,"12,189"
